observed_on,longitude,latitude,year
,-83.8266,34.089846,2014
,-83.798877,34.138962,2014
,-83.7564699,34.1072909,2014
,-83.7564699,34.142209,2014
,-83.693733,34.064256,2014
,-83.747015,34.093613,2014
,-83.6953489,34.097902,2014
,-83.2742425,34.073869,2014
,-83.1133751,34.0878353,2014
10/11/2016,-84.02158333,34.01519445,2016
9/23/2017,-83.84988596,34.0732543,2017
10/20/2017,-83.77351333,34.08297217,2017
10/21/2017,-83.90256333,34.07351383,2017
10/21/2017,-83.90256333,34.07351383,2017
12/11/2017,-83.8267235,34.09037741,2017
8/25/2018,-83.818,34.10058333,2018
8/26/2018,-83.51352476,34.02798685,2018
9/6/2018,-83.58863833,34.11823617,2018
9/13/2018,-83.732,33.9642,2018
9/14/2018,-83.85988617,34.07052231,2018
9/14/2018,-84.29644667,34.02596383,2018
9/18/2018,-83.79622363,34.20688224,2018
9/22/2018,-83.5646262,34.19016814,2018
9/24/2018,-84.065223,34.153734,2018
9/30/2018,-84.17,34,2018
10/1/2018,-84.11789,34.22425497,2018
10/2/2018,-83.96969793,34.10630452,2018
10/4/2018,-84.09563541,34.19542203,2018
10/4/2018,-83.85943423,34.24222048,2018
10/4/2018,-83.86135192,34.24224065,2018
10/4/2018,-84.26191667,34.030075,2018
10/5/2018,-84.11565553,34.19113172,2018
10/7/2018,-83.883775,34.049575,2018
10/8/2018,-83.98301564,34.06005986,2018
10/13/2018,-84.13766839,34.25259155,2018
10/13/2018,-83.72548867,33.9946108,2018
10/16/2018,-84.14332153,34.00132829,2018
10/19/2018,-83.50358582,33.98957825,2018
10/20/2018,-83.92979214,34.1705811,2018
10/21/2018,-84.21486664,34.2917366,2018
10/25/2018,-83.78729167,34.41759167,2018
10/27/2018,-83.86222976,34.2422953,2018
11/8/2018,-84.35691956,34.01310291,2018
12/25/2018,-83.45264532,34.12487312,2018
7/13/2019,-83.82442128,34.23718207,2019
7/16/2019,-83.731067,33.973433,2019
7/22/2019,-83.731115,33.973442,2019
8/6/2019,-83.83098892,34.2458024,2019
8/12/2019,-83.83203305,34.24666252,2019
8/18/2019,-83.83561707,34.01136017,2019
8/20/2019,-83.93178303,34.33187161,2019
8/22/2019,-83.60795723,34.02402386,2019
8/23/2019,-83.62473975,34.07603497,2019
8/24/2019,-84.26071167,34.17752833,2019
8/24/2019,-84.10320709,34.02081333,2019
8/25/2019,-84.25309824,34.05116319,2019
8/25/2019,-83.41867041,33.86703166,2019
8/25/2019,-83.45389726,33.94894262,2019
8/28/2019,-83.93241817,34.02514015,2019
8/29/2019,-84.02752581,34.16156206,2019
8/30/2019,-83.89816789,34.10405991,2019
8/30/2019,-83.80666258,34.10556098,2019
8/30/2019,-83.84558944,34.05420329,2019
8/31/2019,-83.9468,34.02724717,2019
9/1/2019,-83.88752906,34.17495412,2019
9/1/2019,-83.88752906,34.17495412,2019
9/1/2019,-83.88752906,34.17495412,2019
9/1/2019,-83.98325801,34.06151249,2019
9/3/2019,-84.07711117,34.07279717,2019
9/3/2019,-83.98325801,34.06151249,2019
9/4/2019,-83.94727167,34.01173888,2019
9/6/2019,-84.020885,34.039964,2019
9/6/2019,-83.88418667,34.28342,2019
9/8/2019,-83.97031542,34.33266182,2019
9/11/2019,-83.731099,33.973053,2019
9/11/2019,-83.731099,33.973053,2019
9/12/2019,-83.83008484,33.88666022,2019
9/12/2019,-83.28361747,33.97304637,2019
9/12/2019,-83.98325801,34.06151249,2019
9/13/2019,-83.72585946,33.96989005,2019
9/13/2019,-83.48972167,33.99072167,2019
9/13/2019,-83.98325801,34.06151249,2019
9/13/2019,-84.1342071,34.25030147,2019
9/14/2019,-83.94841015,34.1246718,2019
9/14/2019,-83.94841886,34.12470603,2019
9/14/2019,-83.38283928,33.90069025,2019
9/15/2019,-83.44390833,34.141575,2019
9/15/2019,-83.90663,34.05551117,2019
9/17/2019,-83.90965585,34.26334597,2019
9/18/2019,-83.83191177,34.24610036,2019
9/19/2019,-83.82845577,34.11102098,2019
9/19/2019,-83.29474453,34.66603889,2019
9/21/2019,-84.11562947,34.17932137,2019
9/21/2019,-83.38517,34.0339805,2019
9/21/2019,-84.12382068,33.98068263,2019
9/21/2019,-84.12381548,33.98081549,2019
9/21/2019,-84.12371274,33.9808429,2019
9/21/2019,-84.68986494,33.99509561,2019
9/25/2019,-83.82518324,34.22742305,2019
9/25/2019,-83.729508,33.970079,2019
9/25/2019,-83.73075,33.97275,2019
